abandon oneself to,"na. 恣意
"
come into being,"na. 发生
"
come into one's own,"na. 取得属于自己的财产[东西]；获得应有的名誉[信用等]
"
come into play,"na. 开始活动
"
come off,"na. 同“come across”；(人)走了；(扣子,齿,发)脱落
"
come out,"na. 出来
"
come out with,"na. 发表；讲出；泄露(秘密)；展出
"
come through,"na. 胜利；脱险；支付；捐献
"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
"
come to blows,"na. 互相打起来；开战
"
come to life,"na. 苏醒过来
"
come to no harm, 没受伤，没有受到损害
come to one's senses,"na. 恢复理性；恢复知觉；苏醒过来；醒悟过来
"
come to terms,"na. 谈判成功；投降
"
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
"
come under,"na. 归入…类[项目]；被…支配
"
come up,"na. 走近；上升；抬头；(暴风雨等)起
"
come up against,"na. 遭到(反对)；与…矛盾
"
come up for,"na. 到…时候了
"
come up to,"na. 到达；不亚于；不负(期待)
"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
"
come to a close,"na. 将完
"
draw to a close,"na. “come to a close”的变体
"
come into operation,"na. 开始工作；生效
"
go into operation,"na. 开始运转；生效
"
commit a crime,"na. 犯罪
"
confide in,"v. 信任；吐露秘密
"
cook up,"v. 伪造
"
cool down,"na. 使…变凉；〈非正式〉冷静下来
"
cool off,"na. 变凉；使…冷静；(销量,价钱等)下降
"
cope with,"v. 对付；应付
"
count down,"na. (9,8,7,… 0 地)倒数；(火箭发射时)倒数秒数
"
count in,"na. 算入
"
count on,"na. 指望；预料到；期望
"
count upon,"na. 指望；依赖
"
count out,"na. 一面数一面取出；一面数一面分开；除开
"
count up,"v. 数到；数完
"
cover for, 掩护；代替；顶替
cover up,"na. 包庇(某人)；为某人打掩护；蒙盖；隐蔽
"
cry out,"na. 大叫；喊着要求
"
cry out for,"v. 急需
"
curl up, （使）卷; 缭绕升起; （使）厌恶; （使）身体上[精神上]垮掉
cut across,"na. 对直穿过；同“cut”
"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
cut out,"na. 割掉；除去；剪下；开辟
"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
dash off,"na. 飞出；急忙离开；一气写成[写完](文章等)
"
date back,"un. 过时；始于
"
date from,"v. 回溯到
"
dawn on, （白昼）来临于（某处）; 给（某处）以光明; 逐渐（被人）知晓; 明白
deal in,"na. 买卖(货物)；办理；经营
"
deal with,"na. 办理；对待；与…交涉；与…交易
"
decide on,"na. 决心
"
decide upon,"na. 决定(采取某种行动)
"
die away,vt. 减弱，消失；渐熄；风，声音渐弱，渐息；（树木等）渐渐凋零，枯萎（根未死）；假死
die down,"na. 殉国
"
die of,"na. 因…而死
"
die out,"na. 死绝
"
dig in,"na. 挖进；戳进；苦学；坚持主张
"
dig out,"na. 挖出；查出(事实)；〈美口〉慌慌忙忙走开[逃走]
"
dig up,"na. 查出；找到；开垦(荒地等)；采掘(山芋等)
"
dip into,"na. 舀出；取出；看一看；探究
"
dispose of,"na. 安排；解决；办妥；杀掉
"
do away with,"na. 废除；干掉
"
do for,"na. 帮助；适合做；除掉；毁掉
"
do justice to,"na. 公平评判；公平对待；逼真；大吃
"
do one's best,"na. 竭尽所能；尽力
"
try one's best,"na. 尽全力
"
do one's bit,"na. 见 bit 条
"
do one's share,无
do one's utmost,"na. 尽所有力量
"
do sb. good,"v. 有益
"
do the honors,"na. 尽地主之谊
"
do with,"na. 对付；忍耐；与…相处
"
do without,"na. 无需
"
double up,"na. 折；捏起(拳头)；(旅客等)同住一室；弯着身子
"
doze off,"v. 打瞌睡
"
drag on,"na. 迁延；使拖延；拉长(声调等)；挨过
"
drag out,"na. “drag on”的变体
"
draw in,"na. 拉入；引入；收(网等)；收回(借款等)
"
draw into,"v. 诱使参加
"
draw on,"na. 穿；依赖；靠；吸收
"
draw out,"na. 抽出；拔出；掏出；提出
"
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
drive at,"na. 指望
"
drive away,"v. 赶走
"
drop by,"na. 随便访问一下
"
drop in,"(使)落进；(使)往里坍塌：
偶然(或顺便)走访(或访问)(on)；逐渐进入：
[口语](有选择地)加入；愿意(或决心)参加：
【戏剧】放下(吊幕)，吊装布景："
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
"
drum up,"na. 招揽(顾客等)；招募(新兵等)；鼓励；激起
"
dry out, （使）变干， （使）干涸; <非正>（使）戒（酒、毒等）; 晾干
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
"
dwell on,"na. 细想详述仔细研究强调；拖长(发音)仔细打量；减慢
"
dwell upon,"na. 细想详述仔细研究强调；盯着看；减慢
"
ease off,"v. (痛苦)渐减；【航】(索等)松弛；【航】放松；放开(小船)
"
ease up,"na. 同“ease off ”
"
end in,"na. 结果为…
"
end up,"na. 结束；完事；[俚]死；直立着
"
enter into,"na. 入；动手；参加；缔结(协约等)
"
enter on,"na. 动手；入；占有(土地,财产等)
"
enter upon,"na. 动手；入；占有(土地,财产等)
"
face up to,"na. 大胆面向；正面对付；同“face”
"
fall apart,"na. 土崩瓦解
"
fall away,"n. 【宇】(火箭各级的)分开
"
fall behind,"na. 落后；跟不上；落下；拖欠
"
fall for,"v. 爱慕(某人)；赞赏(某事)；上当；受骗
"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
"
