accuse of,"un. 控告
"
blow up,"v. 炸掉；爆炸；充气；放大
"
boil down,"na. 熬干；熬稠；煮干
"
bombard with,以…轰击；以(问题、要求、指责等)质问(或困扰)
boot up,"un. 启动；自举；引导；使系统开始工作
"
build in,"na. 加入；埋入；围以(房屋,围墙等)
"
build into,"v. 建入
"
bundle up,"na. 同“bundle”
"
be appropriate for,"na. 适于
"
be charged with,"装满, 承担, 被控告
[法] 负...责任, 受...指控"
be correlated with,"v. 与…相关连
"
be diligent in,无
be far removed from, 相去甚远；与……大相径庭
become far removed from,无
be indispensable to, 对…必不可少；至关重要的；对……必不可少的
be indispensable for,无
be injurious to,无
be on the wrong planet,无
beside the point,"na. 达到目的；说服别人
"
between jobs, 失业；待业中；工作之间
be validated by,无
beyond one's comprehension, 不可理解
beyond the capability of,无
beyond the dreams of,无
book value,"na. 账面价值；买卖净值；股本净值；单股价值
"
by a large margin,无
by courtesy of,"na. 由于…好意
"
by the book,"na. “by book”的变体
"
call for,"na. 呼吁；主张；需要；接(某人)
"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
"
cast doubt on,"un. 令人对…置信不疑；令人不疑
"
check on,"na. 检查
"
cling to,"v. 依附；坚持
"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
"
compete with,"v. 竞争
"
comply with,"v. 遵守
"
conform to,"na. 遵照；顺应；遵守
"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
"
cope with,"v. 对付；应付
"
cannot but, 不得不；禁不住；不能不
concern for,"un. 关心
"
contrary to,"na. 跟…相反[相违背]
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
care about,"v. 在意
"
cast about for,"na. 寻觅；搜集；物色；想(方法等)
"
cast around for,"cast around (for)
＝ cast about (for)
以上来源于：《21世纪大英汉词典》"
cast aside,"na. 抛弃
"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
cater to,"v. 迎合
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
check up on,"na. “check on”的变体
"
cheer on,"un. 欢呼；喝采；高呼加油:；为某人打气
"
cheer up,"v. 鼓舞；振作一点
"
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
close down,"v. 关闭；关门；倒闭；歇业
"
close up,"na. 靠紧；(伤)愈合；密闭；〔美国〕结束
"
coincide with,"v. 与…一致
"
combine with,"na. 和…结合；与…化合
"
come about,"na. 发生；(风等)变向；【航海】抢风调向
"
come along,"na. 进步；同意；一道来；请过来
"
come around,"na. 赶上；达到；袭击
"
come round,"na. 苏醒；(生气的人)消除怒气；(病后)复原；(从某处)转来
"
come at,"v. 得到；达到
"
come by,"na. 到手；通过附近；〔美俚〕拜访
"
come down,"na. 败落；退步；(飞机的)下降
"
come down to,"v. 降至；归结起来；变为；归结为
"
come in,"na. 进入；当选；上台；(党派)组阁
"
come out,"na. 出来
"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
"
come under,"na. 归入…类[项目]；被…支配
"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
"
comment on,"v. 评论
"
communicate with,"v. 联络
"
compare to,"un. 核对记录；商量了一番；比较；和…相仿
"
compare with,"na. 和…比较[对照]
"
complain about,"v. 埋怨
"
complain of,"v. 抱怨；叫屈
"
concentrate on,"na. 集中在；专心于
"
confine to,"v. 限于
"
confine within,把…关在…里
conflict with,"v. 相抵触
"
consent to,"v. 同意；赞成
"
consist of,"v. 由…合成
"
count as, 视为；看成；算
count for,"un. 倒数；算作
"
count in,"na. 算入
"
cut across,"na. 对直穿过；同“cut”
"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut out,"na. 割掉；除去；剪下；开辟
"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
capable of,"na. (事物)可以…的；能…的；易…的；(人)敢于…的
"
civil servant,"n. 公务员；政府官员
"
close by,"adv. 在附近
"
close to,"na. 接近于；在附近
"
come into being,"na. 发生
"
come into effect,"na. 开始实施
"
go into effect,"v. 生效
"
come into use,"na. (某物)开始被使用
"
come to a close,"na. 将完
"
draw to a close,"na. “come to a close”的变体
"
come to life,"na. 苏醒过来
"
come to light,"na. 显露
"
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
"
commit a crime,"na. 犯罪
"
commit suicide,"na. 自杀；自尽
"
common to,"adj. 对…共同
"
comparable with,"adj. 可比于
"
comparable to,"v. 赶得上
"
control over, 控制；支配；对…的控制
convenient to, 便于；方便的；对某人方便
chance on,"na. 偶然发现
"
chance upon,"na. 偶然发现
"
chew over,"na. “chew upon”的变体
"
choke back,"na. 抑压住(感情)
"
choke up,"na. 使闷死；枯死；〔口语〕激动得说不出话来；同“choke”
"
clamp down,"v. 严厉打击；强制执行；严禁；施压
"
clear away,"na. 扫除；砍去；(雾等)消散
"
clear off,"na. 理清(工作等)；清算；卖掉；撵走
"
clear up,"na. 整顿；说明；(天气)转晴
"
close in on,"un. 崩塌下来；接近；笼罩
"
come apart,"na. (精神)错乱；分开了
"
come between,"na. 介入…之间；离间
"
come in for,"na. 来取；接受；受到(处分等)
"
come into,"na. 归入；开始；得到；缔结
"
come out with,"na. 发表；讲出；泄露(秘密)；展出
"
compensate for,"v. 补偿；抵偿
"
confess to,"v. 承认
"
confide in,"v. 信任；吐露秘密
"
cool off,"na. 变凉；使…冷静；(销量,价钱等)下降
"
correspond to,"v. 符合
"
counter with, 与…相反的；以…反击；提出与之抗衡的
